"Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Velocity: Magnitude (m/s)","Pressure (Pa)","X (m)","Y (m)","Z (m)"
1.95504009723663,-1.10752189159393,-9.81124685495161e-06,2.24695049394932,-12.7374119238229,-0.028,-0.015,0
37.5638275146484,-5.37692022323608,0.196714147925377,37.9472147211531,-14.0594271637565,-0.028,-0.015,0.001075
39.6039161682129,-4.83303070068359,0.188046723604202,39.8981669150707,-17.7864309151773,-0.028,-0.015,0.00215
40.2618255615234,-4.71524715423584,0.204458639025688,40.5375129553744,-18.6244817441329,-0.028,-0.015,0.003225
40.458179473877,-4.68637657165527,0.16459396481514,40.7290253122396,-19.2528194130864,-0.028,-0.015,0.0043
40.458179473877,-4.68637657165527,0.16459396481514,40.7290253122396,-19.2528194130864,-0.028,-0.015,0.005375
40.528636932373,-4.67406320571899,0.120901599526405,40.7974496218077,-19.7278674934059,-0.028,-0.015,0.00645
40.5195541381836,-4.69466543197632,0.0820149183273315,40.7906959676127,-20.0535971792415,-0.028,-0.015,0.007525
40.4786376953125,-4.6916618347168,0.0417472645640373,40.7496447011972,-20.2074549016543,-0.028,-0.015,0.0086
40.4786376953125,-4.6916618347168,0.0417472645640373,40.7496447011972,-20.2074549016543,-0.028,-0.015,0.009675
40.4443626403809,-4.67622470855713,0.00112270889803767,40.7138004633813,-20.156565148849,-0.028,-0.015,0.01075
40.4329566955566,-4.68274164199829,-0.0405471511185169,40.7032394349876,-20.0693315602839,-0.028,-0.015,0.011825
40.4329566955566,-4.68274164199829,-0.0405471511185169,40.7032394349876,-20.0693315602839,-0.028,-0.015,0.0129
40.444206237793,-4.68605041503906,-0.0885223895311356,40.714871029034,-19.8888056278229,-0.028,-0.015,0.013975
40.4573783874512,-4.68882465362549,-0.1315628439188,40.7283912203729,-19.5186639180174,-0.028,-0.015,0.01505
40.4380340576172,-4.69508457183838,-0.162933900952339,40.7100106243882,-19.0075654415705,-0.028,-0.015,0.016125
40.4380340576172,-4.69508457183838,-0.162933900952339,40.7100106243882,-19.0075654415705,-0.028,-0.015,0.0172
40.3219223022461,-4.72781229019165,-0.197318553924561,40.5986275853185,-18.3944366316282,-0.028,-0.015,0.018275
39.7841949462891,-4.85931634902954,-0.205408990383148,40.0803856737633,-17.7223124429584,-0.028,-0.015,0.01935
38.1667976379395,-5.18372535705566,-0.164535209536552,38.5175612201497,-17.3451965714339,-0.028,-0.015,0.020425
2.04055643081665,-1.05727005004883,-8.77065976965241e-05,2.29819288001897,-17.2500519896857,-0.028,-0.015,0.0215
